Titulo,URL,Fecha
Rise of the Robots: Technology and the Threat of a Jobless Future,/-/es/Martin-Ford/dp/0465097537/ref=sr_1_1?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-1,12 julio 2016
Learning RSLogix 5000 Programming: Building PLC solutions with Rockwell Automation and RSLogix 5000,/-/es/Austin-Scott/dp/1784396036/ref=sr_1_2?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-2,31 agosto 2015
"The Future of Leadership: Rise of Automation, Robotics and Artificial Intelligence",/-/es/Brigette-Tasha-Hyacinth-ebook/dp/B07YBCT55D/ref=sr_1_3?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-3,
Building Automation: Control Devices and Applications,/-/es/Partnership-NJATC/dp/0826920004/ref=sr_1_4?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-4,1 enero 2008
Building Automation Systems A To Z: How To Survive In A World Full Of Bas,/-/es/Phil-Zito/dp/1539914488/ref=sr_1_5?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-5,1 diciembre 2016
Applied Artificial Intelligence: A Handbook For Business Leaders,/-/es/Mariya-Yao/dp/0998289027/ref=sr_1_6?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-6,5 junio 2018
(Part 1) You Must Learn VBScript for QTP/UFT: Don't Ignore The Language For Functional Automation Testing,/-/es/Rex-Allen-Jones-II-ebook/dp/B019L39994/ref=sr_1_7?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-7,
"Complete Guide to Test Automation: Techniques, Practices, and Patterns for Building and Maintaining Effective Software Projects",/-/es/Arnon-Axelrod/dp/1484238311/ref=sr_1_8?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-8,23 septiembre 2018
Test Automation using Selenium Webdriver 3.0 with C#,/-/es/Mr-Vaibhav-Mittal/dp/0992293561/ref=sr_1_10?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-10,1 octubre 2018
The Glass Cage: Automation and Us,/-/es/dp/B00N9G3G30/ref=sr_1_11?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-11,
"Email Marketing Rules: Checklists, Frameworks, and 150 Best Practices for Business Success",/-/es/Chad-S-White/dp/1546910638/ref=sr_1_12?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-12,29 mayo 2017
"Selenium Framework Design in Data-Driven Testing: Build data-driven test frameworks using Selenium WebDriver, AppiumDriver, Java, and TestNG",/-/es/Carl-Cocchiaro/dp/1788473574/ref=sr_1_13?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-13,23 enero 2018
"Selenium WebDriver 3 Practical Guide: End-to-end automation testing for web and mobile browsers with Selenium WebDriver, 2nd Edition",/-/es/Unmesh-Gundecha/dp/1788999762/ref=sr_1_14?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-14,31 julio 2018
The Robots Are Coming!: The Future of Jobs in the Age of Automation,/-/es/Andres-Oppenheimer/dp/0525565000/ref=sr_1_15?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-15,30 abril 2019
"Robotics: What Beginners Need to Know about Robotic Process Automation, Mobile Robots, Artificial Intelligence, Machine Learning, Autonomous Vehicles, Speech Recognition, Drones, and Our Future",/-/es/dp/B07RZVC7B4/ref=sr_1_16?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-16,
Test Automation using Selenium WebDriver with Java: Step by Step Guide,/-/es/Mr-Navneesh-Garg/dp/0992293510/ref=sr_1_17?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574546690&sr=8-17,11 diciembre 2014
Network Programmability and Automation: Skills for the Next-Generation Network Engineer,/-/es/Jason-Edelman/dp/1491931256/ref=sr_1_17?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-17,3 marzo 2018
The Rise Of The Robots,/-/es/Paxton-Collins/dp/B01ABDA2VC/ref=sr_1_18?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-18,2016
"Home Automation with Raspberry Pi: Projects Using Google Home, Amazon Echo, and Other Intelligent Personal Assistants",/-/es/Donald-Norris/dp/1260440354/ref=sr_1_19?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-19,19 marzo 2019
Building Automation Integration with Open Protocols,/-/es/Partnership-NJATC/dp/0826920128/ref=sr_1_20?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-20,1 enero 2009
Absolute Beginner (Part 1) Java 4 Selenium WebDriver: Come Learn How To Program For Automation Testing,/-/es/Rex-Allen-Jones-II-ebook/dp/B01CO4E000/ref=sr_1_21?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-21,
Selenium with Python - A Beginner’s Guide: Get started with Selenium using Python as a programming language,/-/es/Pallavi-R-Sharma/dp/9389328810/ref=sr_1_22?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-22,4 octubre 2019
Python Automation Cookbook: Explore the world of automation using Python recipes that will enhance your skills,/-/es/Jaime-Buelta/dp/1789133807/ref=sr_1_23?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-23,27 septiembre 2018
"Robotic Process Automation: Guide To Building Software Robots, Automate Repetitive Tasks & Become An RPA Consultant",/-/es/Richard-Murdoch/dp/1983036838/ref=sr_1_24?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547047&sr=8-24,30 mayo 2018
